date,stock_id,volume,Trading_money,open,high,low,close,spread,Trading_turnover,TAIEX_return,SMA_10,SMA_20,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0,OBV,future_change,target
2025-04-24,2308,5420602,1778577264,332.0,334.5,324.5,326.5,-3.0,18794,-0.008163799433172692,322.9,336.2000000000001,43.79392339130154,-16.124678754498802,1.4485699562884449,-17.573248710787247,273.1900592638005,336.2000000000001,399.2099407361997,37.483605434978934,0.4230280183835549,636698739.0,0.08422664624808585,1
2025-04-25,2308,8413008,2802457718,334.0,339.5,329.5,330.5,4.0,14724,0.020223001302440924,322.45,332.77500000000003,45.423094831425864,-14.56957239248095,2.4029410546450407,-16.97251344712599,277.1205444636005,332.77500000000003,388.4294555363996,33.44869989416245,0.4795613848157034,645111747.0,0.08320726172465953,1
2025-04-28,2308,6350574,2159220787,343.0,344.0,335.5,340.5,10.0,6752,0.008135771985026796,323.5,330.2,49.37387526336004,-12.387428406370361,3.6680680326045056,-16.055496438974867,281.7890399534152,330.2,378.61096004658475,29.322204752625538,0.606380869023136,651462321.0,0.05433186490455211,1
2025-04-29,2308,7981381,2689544828,339.0,340.0,332.0,340.0,-0.5,7301,0.009893977411862931,324.45,328.37499999999994,49.18216897697964,-10.576490201795139,4.383204989743783,-14.959695191538922,284.8030691511704,328.37499999999994,371.9469308488295,26.53790991934803,0.6334001015508398,643480940.0,0.0691176470588235,1
2025-04-30,2308,8648793,2893859112,337.5,338.5,333.0,333.5,-6.5,7367,0.0001186202683485238,325.75000000000006,327.04999999999995,46.64653499481048,-9.55565268878837,4.323234002200442,-13.878886690988812,285.98791606795197,327.04999999999995,368.11208393204794,25.110584884297804,0.5785396085921247,634832147.0,0.11544227886056979,1
2025-05-02,2308,13425230,4665197325,339.5,356.0,337.0,354.0,20.5,12654,0.02730957156969871,329.6,326.19999999999993,54.59693913639643,-7.011627256218617,5.493807547816157,-12.505434804034774,288.3938462263304,326.19999999999993,364.00615377366944,23.179738671777752,0.867665012506002,648257377.0,0.05649717514124286,1
2025-05-05,2308,10878687,3890748919,364.0,364.0,352.5,358.0,4.0,10162,-0.012250067828767364,333.45000000000005,325.62499999999994,55.975456531462875,-4.6194520340489476,6.308786215988661,-10.928238250037609,290.32497018041465,325.62499999999994,360.92502981958523,21.681400273065822,0.9585690177241386,659136064.0,0.033519553072625774,1
2025-05-06,2308,7948677,2849956375,355.0,363.0,353.0,359.0,1.0,6746,-0.0005065019756013145,338.15,326.925,56.33240953401303,-2.612825269852806,6.652330384147843,-9.26515565400065,288.6885128788108,326.925,365.1614871211892,23.391595700046928,0.919429220816486,667084741.0,0.025069637883008422,1
2025-05-07,2308,7876563,2855932458,360.0,368.0,359.5,363.5,4.5,6522,0.001164570358809458,343.5,329.84999999999997,57.98336238483057,-0.6519316481053465,6.890579204716243,-7.542510852821589,289.76968589260036,329.84999999999997,369.93031410739957,24.3021458889796,0.919782139304487,674961304.0,0.023383768913342484,1
2025-05-08,2308,9971284,3691103182,363.0,375.0,362.5,372.0,8.5,9697,-0.00015039065066591029,347.75,334.425,60.983972608564336,1.5698731170598421,7.289907175905146,-5.720034058845304,297.2819266923524,334.425,371.56807330764764,22.21309609487785,1.0058143639431074,684932588.0,-0.0040322580645161255,0
2025-05-09,2308,9848583,3683508681,377.5,378.0,370.5,374.0,2.0,8148,0.018090481614533083,352.5,337.7,61.67745962322047,3.4522572137897214,7.33783301810802,-3.8855758043182984,298.67854840974053,337.7,376.72145159025945,23.1101282737693,0.9651287755920032,694781171.0,-0.008021390374331583,0
2025-05-12,2308,4737810,1763231361,375.0,375.5,368.0,370.0,-4.0,6096,0.010255777660477916,356.45,339.45000000000005,59.40330205648913,4.56862928713889,6.763364073165751,-2.194734786026861,297.882173372586,339.45000000000005,381.0178266274141,24.491280970637224,0.867471702018842,690043361.0,-0.018918918918918948,0
2025-05-13,2308,7787017,2883771625,376.0,378.0,367.5,368.0,-2.0,8340,0.009493817660015225,359.2,341.34999999999997,58.24686678141849,5.231671460992118,5.941124997615183,-0.7094535366230652,298.1587484491737,341.34999999999997,384.54125155082625,25.306138304277887,0.808511550870887,682256344.0,-0.006793478260869512,0
2025-05-14,2308,10240371,3806432257,369.5,375.0,369.5,372.0,4.0,7234,0.021224895851597703,362.4,343.425,59.92712461456621,6.010617079127883,5.376056492600759,0.6345605865271245,298.4767549080886,343.425,388.37324509191143,26.176454883547446,0.8178655800862641,692496715.0,0.017473118279569988,0
2025-05-15,2308,5816005,2157369149,374.0,376.0,368.0,370.5,-1.5,6028,-0.0024156596444820932,366.09999999999997,345.925,58.96877295435931,6.432746927192852,4.638549072532582,1.7941978546602702,300.7839637037964,345.925,391.0660362962036,26.098741806000486,0.7722024350387673,686680710.0,0.020242914979757165,1
